# StartTime = 12/07/2024 01:10:21.3391 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
30.259,0,14.404,1204.25,123.8,33.8,93.2,21.17647,14,29.5301,0,1.20102,0,0,0.5485522,0.1791556
30.699,0,14.404,1201,123.8,33.8,93.2,21.56863,14,29.5301,0,1.202559,0,0,0.5529081,0.1805783
31.094,0,14.404,1201,123.8,33.8,93.2,21.17647,14,29.5301,0,1.203723,0,0,0.5564125,0.1817228
31.449,0,14.404,1197,123.8,33.8,93.2,21.17647,14,29.5301,0,1.204998,0,0,0.534314,0.1745055
31.842,0,14.404,1176.75,123.8,33.8,93.2,21.56863,14,29.5301,0,1.206112,0,0,0.5254354,0.1716058
32.285,0,14.404,1180.25,123.8,33.8,93.2,21.17647,14,29.5301,0,1.207117,0,0,0.4979679,0.1626349
32.694,0,14.404,1191,123.8,33.8,93.2,20.78431,14,29.5301,0,1.208226,0,0,0.4962141,0.1620622
33.076,0,14.404,1186,123.8,33.8,93.2,21.17647,14,29.5301,0,1.209352,0,0,0.5050903,0.1649611
33.444,0,14.404,1188,123.8,33.8,93.2,20.78431,14,29.5301,0,1.21052,0,0,0.5351329,0.1747729
34.046,0,14.404,1183,123.8,33.8,93.2,21.56863,14,29.5301,0,1.211606,0,0,0.5360174,0.1750618
34.392,0,14.312,1168,123.8,33.8,95,21.56863,14,29.5301,0,1.212696,0,0,0.5209806,0.1701508
34.825,0,14.312,1178.75,123.8,33.8,95,21.17647,14,29.5301,0,1.214423,0,0,0.5226533,0.1706972
35.221,0,14.312,1175.25,123.8,33.8,95,20.78431,13,29.5301,0,1.215427,0,0,0.4952688,0.1617534
35.663,0,14.312,1175.75,123.8,33.8,95,21.17647,14,29.5301,0,1.216549,0,0,0.5129412,0.1675252
36.049,0,14.312,1174.25,123.8,33.8,95,20.78431,13,29.5301,0,1.21762,0,0,0.4890629,0.1597266
36.475,0,14.312,1172.75,123.8,33.8,95,20.78431,13,29.5301,0,1.218928,0,0,0.5342156,0.1744733
36.828,0,14.312,1163.75,123.8,33.8,95,21.17647,14,29.5301,0,1.220021,0,0,0.5429769,0.1773347
37.305,0,14.312,1158,123.8,33.8,95,21.17647,14,29.5301,0,1.22121,0,0,0.5031976,0.1643429
37.659,0,14.312,1158,123.8,33.8,95,21.17647,14,29.5301,0,1.222157,0,0,0.4933939,0.1611411
38.177,0,14.312,1168.25,123.8,33.8,95,26.27451,16,29.5301,0,1.22343,0,0,0.5190044,0.1695054
38.571,0,14.365,1210.5,123.8,33.8,95,26.66667,19,29.5301,0,1.224871,0,0,0.6799849,0.2220812
39.056,0,14.365,1223.75,123.8,33.8,95,25.88235,20,29.5301,0,1.226633,0,0,0.633256,0.2068197
39.439,0,14.365,1252.75,123.8,33.8,95,22.7451,18,29.5301,0,1.227969,0,0,0.6171845,0.2015708
39.832,0,14.365,1254.75,123.8,33.8,95,23.52941,17,29.5301,0,1.229582,0,0,0.5899729,0.1926835
40.240,0,14.365,1203.75,123.8,33.8,95,24.31373,17,29.5301,0,1.230675,0,0,0.5836738,0.1906262
40.683,0,14.365,1188.75,123.8,33.8,95,23.92157,18,29.5301,0,1.232014,0,0,0.5916148,0.1932198
41.079,0,14.365,1180.5,123.8,33.8,95,23.92157,17,29.5301,0,1.233301,0,0,0.5660214,0.184861
41.458,0,14.365,1170.5,123.8,33.8,95,22.7451,16,29.5301,0,1.234558,0,0,0.5650676,0.1845495
41.837,0,14.365,1166.25,123.8,33.8,95,23.13725,16,29.5301,0,1.235907,0,0,0.5942313,0.1940743
42.441,0,14.365,1161.5,123.8,33.8,95,22.7451,16,29.5301,0,1.23713,0,0,0.565085,0.1845552
42.944,0,14.385,1142.5,125.6,33.8,95,23.92157,17,29.5301,0,1.238188,0,0,0.5473313,0.1787569
43.346,0,14.385,1143.75,125.6,33.8,95,23.13725,16,29.5301,0,1.240232,0,0,0.5208527,0.170109
43.742,0,14.385,1141.5,125.6,33.8,95,23.52941,16,29.5301,0,1.241388,0,0,0.5463967,0.1784517
44.201,0,14.385,1165.25,125.6,33.8,95,23.92157,16,29.5301,0,1.242517,0,0,0.5286815,0.1726659
44.587,0,14.385,1223.75,125.6,33.8,95,22.35294,16,29.5301,0,1.243844,0,0,0.6135911,0.2003972
44.997,0,14.385,1272.75,125.6,33.8,95,20.78431,15,29.5301,0,1.245383,0,0,0.5959998,0.1946519
45.384,0,14.385,1258,125.6,33.8,95,21.17647,15,29.5301,0,1.246457,0,0,0.5465477,0.178501
45.886,0,14.385,1227.75,125.6,33.8,95,21.56863,14,29.5301,0,1.247683,0,0,0.5482323,0.1790512
46.242,0,14.385,1196.75,125.6,33.8,95,21.17647,14,29.5301,0,1.24889,0,0,0.5402741,0.176452
46.720,0,14.385,1175,125.6,33.8,95,21.96078,15,29.5301,0,1.250372,0,0,0.5597447,0.1828111
47.099,0,14.307,1165.5,125.6,33.8,96.8,21.96078,15,29.5301,0,1.251335,0,0,0.5084257,0.1660504
47.528,0,14.307,1163.25,125.6,33.8,96.8,21.17647,14,29.5301,0,1.252697,0,0,0.5057109,0.1651638
47.888,0,14.307,1153.5,125.6,33.8,96.8,20.78431,14,29.5301,0,1.253755,0,0,0.5348701,0.1746871
48.305,0,14.307,1140.5,125.6,33.8,96.8,21.17647,14,29.5301,0,1.254915,0,0,0.4888828,0.1596678
48.688,0,14.307,1116,125.6,33.8,96.8,21.17647,14,29.5301,0,1.255902,0,0,0.4941113,0.1613754
49.149,0,14.307,1114.25,125.6,33.8,96.8,21.17647,14,29.5301,0,1.25693,0,0,0.4719554,0.1541393
49.509,0,14.307,1119.25,125.6,33.8,96.8,20.78431,13,29.5301,0,1.257957,0,0,0.4763306,0.1555683
49.919,0,14.307,1095.75,125.6,33.8,96.8,21.56863,14,29.5301,0,1.259261,0,0,0.514331,0.1679791
50.324,0,14.307,1098,125.6,33.8,96.8,21.56863,14,29.5301,0,1.260134,0,0,0.4524144,0.1477573
50.909,0,14.307,1104,125.6,33.8,96.8,21.17647,14,29.5301,0,1.261289,0,0,0.516051,0.1685408
51.389,0,14.38,1107.5,127.4,33.8,96.8,20.78431,13,29.5301,0,1.262285,0,0,0.4736213,0.1546834
51.844,0,14.38,1085.25,127.4,33.8,96.8,21.56863,14,29.5301,0,1.264277,0,0,0.493061,0.1610324
52.196,0,14.38,1094.25,127.4,33.8,96.8,21.17647,14,29.5301,0,1.265288,0,0,0.5186383,0.1693858
52.609,0,14.38,1085,127.4,33.8,96.8,20.39216,14,29.5301,0,1.266456,0,0,0.4974943,0.1624803
53.016,0,14.38,1086.75,127.4,33.8,96.8,21.17647,14,29.5301,0,1.267405,0,0,0.4947523,0.1615847
53.387,0,14.38,1093.75,127.4,33.8,96.8,21.96078,14,29.5301,0,1.268546,0,0,0.50275,0.1641968
53.768,0,14.38,1086.25,127.4,33.8,96.8,20.39216,13,29.5301,0,1.269658,0,0,0.4938992,0.1613061
54.216,0,14.38,1096.5,127.4,33.8,96.8,20.78431,13,29.5301,0,1.270652,0,0,0.5097716,0.16649
54.587,0,14.38,1082.5,127.4,33.8,96.8,20.78431,13,29.5301,0,1.271782,0,0,0.5141891,0.1679327
55.151,0,14.38,1082.5,127.4,33.8,96.8,20.78431,13,29.5301,0,1.272926,0,0,0.4894514,0.1598535
55.534,0,14.39,1077.5,127.4,33.8,98.6,21.17647,13,29.5301,0,1.273949,0,0,0.4894064,0.1598388
56.005,0,14.39,1072.5,127.4,33.8,98.6,21.17647,13,29.5301,0,1.275272,0,0,0.4434965,0.1448448
56.365,0,14.39,1074.5,127.4,33.8,98.6,20.39216,13,29.5301,0,1.276211,0,0,0.423164,0.1382042
56.749,0,14.39,1077.5,127.4,33.8,98.6,20,13,29.5301,0,1.277306,0,0,0.4426131,0.1445562
57.114,0,14.39,1066.25,127.4,33.8,98.6,20.78431,13,29.5301,0,1.278165,0,0,0.4363753,0.142519
57.599,0,14.39,1069.75,127.4,33.8,98.6,20.78431,13,29.5301,0,1.279111,0,0,0.4823392,0.1575307
57.970,0,14.39,1079.25,127.4,33.8,98.6,20.78431,13,29.5301,0,1.28007,0,0,0.4443119,0.145111
58.337,0,14.39,1072,127.4,33.8,98.6,21.17647,13,29.5301,0,1.281326,0,0,0.488538,0.1595552
58.717,0,14.39,1071.75,127.4,33.8,98.6,20.78431,13,29.5301,0,1.282178,0,0,0.4381017,0.1430828
59.297,0,14.39,1062.5,127.4,33.8,98.6,21.17647,13,29.5301,0,1.283189,0,0,0.4893914,0.1598339
59.784,0,14.321,1062.75,127.4,33.8,98.6,20,13,29.5301,0,1.284102,0,0,0.454856,0.1485547
60.163,0,14.321,1062.25,127.4,33.8,98.6,20.78431,13,29.5301,0,1.285811,0,0,0.4460512,0.1456791
60.543,0,14.321,1046,127.4,33.8,98.6,21.17647,13,29.5301,0,1.286708,0,0,0.4654403,0.1520115
60.977,0,14.321,1059,127.4,33.8,98.6,21.17647,13,29.5301,0,1.287662,0,0,0.4389312,0.1433537
61.363,0,14.321,1055.25,127.4,33.8,98.6,20.39216,13,29.5301,0,1.288572,0,0,0.4521786,0.1476803
61.710,0,14.321,1062.25,127.4,33.8,98.6,20.78431,13,29.5301,0,1.289708,0,0,0.473389,0.1546075
62.064,0,14.321,1052.25,127.4,33.8,98.6,20.78431,13,29.5301,0,1.290567,0,0,0.427437,0.1395997
62.522,0,14.321,1042.25,127.4,33.8,98.6,20.78431,13,29.5301,0,1.29142,0,0,0.4521925,0.1476848
62.902,0,14.321,1046.25,127.4,33.8,98.6,20.78431,13,29.5301,0,1.292364,0,0,0.4821617,0.1574727
63.436,0,14.321,1052.75,127.4,33.8,98.6,20.78431,13,29.5301,0,1.293543,0,0,0.4495153,0.1468105
63.811,0,14.297,1054.25,127.4,33.8,98.6,20.78431,13,29.5301,0,1.294471,0,0,0.4591876,0.1499694
64.304,0,14.297,1049,127.4,33.8,98.6,20.78431,13,29.5301,0,1.295765,0,0,0.4609678,0.1505508
64.641,0,14.297,1053.25,127.4,33.8,98.6,20.39216,13,29.5301,0,1.296683,0,0,0.4186313,0.1367238
64.996,0,14.297,1046.75,127.4,33.8,98.6,20.78431,13,29.5301,0,1.297802,0,0,0.4485772,0.1465041
65.406,0,14.297,1044,127.4,33.8,98.6,20.78431,13,29.5301,0,1.298652,0,0,0.4397469,0.1436201
